year,state,Pincode,type,count,amount
2020,andhra-pradesh,516001,TOTAL,1066066,2616099329.3322473
2020,andhra-pradesh,515001,TOTAL,1026587,2447755903.073549
2020,andhra-pradesh,518002,TOTAL,979822,2015820866.3250332
2020,andhra-pradesh,522001,TOTAL,963666,2678051229.473872
2020,andhra-pradesh,520002,TOTAL,956641,2767045048.1995325
2020,andhra-pradesh,524002,TOTAL,5194663,13718743729.17845
2020,andhra-pradesh,530026,TOTAL,4159532,10383207817.795242
2020,andhra-pradesh,517501,TOTAL,2735691,5544720473.076229
2020,andhra-pradesh,516001,TOTAL,2534360,6637577271.358326
2020,andhra-pradesh,517507,TOTAL,2306174,4594510974.325968
2020,andhra-pradesh,520002,TOTAL,2238996,6543183825.055463
2020,andhra-pradesh,530016,TOTAL,1921871,3560898943.243418
2020,andhra-pradesh,515001,TOTAL,1669413,4116758527.095812
2020,andhra-pradesh,522001,TOTAL,1625687,4701116488.838855
2020,andhra-pradesh,518002,TOTAL,1514873,3352462441.2241564
2020,andhra-pradesh,524002,TOTAL,5029692,12810644736.250324
2020,andhra-pradesh,530026,TOTAL,4235146,9849636860.464972
2020,andhra-pradesh,517501,TOTAL,4125544,7866883789.381668
2020,andhra-pradesh,517507,TOTAL,3420778,6749696775.855953
2020,andhra-pradesh,516001,TOTAL,3119905,8005247952.077286
2020,andhra-pradesh,530016,TOTAL,2981818,5591062751.070802
2020,andhra-pradesh,515001,TOTAL,2821800,6442101736.915546
2020,andhra-pradesh,518002,TOTAL,2219953,4809927717.539759
2020,andhra-pradesh,520010,TOTAL,2170458,4679865894.241622
2020,andhra-pradesh,530017,TOTAL,2027751,3252434512.586547
2021,andhra-pradesh,524002,TOTAL,7269657,16698428355.239132
2021,andhra-pradesh,530026,TOTAL,5875319,13567044097.312927
2021,andhra-pradesh,517501,TOTAL,4354325,8224302893.470669
2021,andhra-pradesh,520002,TOTAL,3591058,9183853695.408499
2021,andhra-pradesh,517507,TOTAL,3378549,6593121540.981036
2021,andhra-pradesh,530016,TOTAL,3144495,5679150412.005564
2021,andhra-pradesh,516001,TOTAL,2941623,7434205012.068323
2021,andhra-pradesh,515001,TOTAL,2815993,6225481722.602297
2021,andhra-pradesh,522001,TOTAL,2584588,6753205746.899624
2021,andhra-pradesh,520010,TOTAL,2291676,4716738889.930448
2021,andhra-pradesh,524002,TOTAL,11023032,25519404146.52658
2021,andhra-pradesh,530026,TOTAL,7850540,19042845773.20165
2021,andhra-pradesh,520002,TOTAL,5441708,14948864290.86964
2021,andhra-pradesh,517501,TOTAL,4614209,9215678010.439575
2021,andhra-pradesh,517507,TOTAL,3834825,7940105016.380435
2021,andhra-pradesh,522001,TOTAL,3427039,9832657321.439524
2021,andhra-pradesh,515001,TOTAL,3052771,7213837063.020088
2021,andhra-pradesh,530016,TOTAL,2892664,5705916880.595729
2021,andhra-pradesh,516001,TOTAL,2613562,7256266063.657529
2021,andhra-pradesh,518002,TOTAL,2553688,5906664130.524334
2021,andhra-pradesh,524002,TOTAL,10701326,23300508690.71216
2021,andhra-pradesh,530026,TOTAL,9780096,22841763578.29273
2021,andhra-pradesh,517501,TOTAL,5982442,11419848822.233982
2021,andhra-pradesh,520002,TOTAL,5320101,14633600592.216694
2021,andhra-pradesh,517507,TOTAL,4866065,9768221617.56348
2021,andhra-pradesh,522001,TOTAL,4242875,11355623168.660927
2021,andhra-pradesh,530016,TOTAL,4177023,7797927714.306906
